order_id,order_date,customer_id,product_id,warehouse_id,quantity,sales_amount,discount,delivery_days
O00001,2024-08-28,C4114,P0453,W003,4,27284.31,0.13,4
O00002,2026-04-16,C3129,P0042,W002,4,10687.27,0.03,12
O00003,2026-06-11,C0245,P0158,W005,8,27522.9,0.25,14
O00004,2025-02-09,C1457,P0408,W004,6,36378.3,0.12,1
O00005,2024-07-18,C4044,P0153,W001,8,24115.6,0.21,5
O00006,2025-07-13,C2420,P0245,W004,10,17777.92,0.2,14
O00007,2024-09-28,C0626,P0057,W003,3,2952.48,0.1,7
O00008,2025-06-22,C0795,P0054,W005,8,45734.52,0.05,14
O00009,2026-05-06,C1180,P0319,W004,4,22793.45,0.03,10
O00010,2025-10-17,C1748,P0186,W004,9,29159.99,0.14,6
O00011,2025-06-22,C2710,P0451,W002,6,18595.93,0.15,7
O00012,2025-06-24,C0361,P0008,W001,3,8857.08,0.0,2
O00013,2025-07-14,C4749,P0080,W003,8,16967.19,0.04,8
O00014,2024-11-14,C1704,P0181,W004,8,9131.11,0.08,8
O00015,2024-10-24,C4194,P0100,W004,1,881.66,0.07,7
O00016,2024-10-11,C2759,P0138,W004,8,13409.85,0.02,3
O00017,2026-01-30,C3361,P0374,W004,8,16207.91,0.05,9
O00018,2025-12-31,C2994,P0175,W005,2,3860.35,0.19,13
O00019,2024-09-21,C0870,P0039,W004,1,6566.62,0.08,7
O00020,2026-05-05,C2246,P0127,W002,2,6438.64,0.05,13
O00021,2024-07-24,C0704,P0436,W005,3,11576.31,0.14,12
O00022,2026-05-26,C3585,P0035,W001,4,5548.49,0.07,8
O00023,2025-06-08,C4435,P0442,W002,1,3557.46,0.19,3
O00024,2024-07-17,C4793,P0307,W003,6,1748.4,0.08,13
O00025,2024-09-10,C0334,P0173,W005,6,12926.54,0.2,4
O00026,2025-10-12,C1587,P0397,W004,8,47075.12,0.02,15
O00027,2024-09-05,C4599,P0105,W004,3,18208.97,0.18,15
O00028,2025-08-07,C1301,P0111,W001,8,43420.52,0.13,15
O00029,2026-05-04,C1244,P0214,W004,7,21547.57,0.15,1
O00030,2025-03-28,C1730,P0035,W004,3,3848.15,0.14,2
O00031,2026-06-01,C4250,P0097,W002,1,1401.77,0.01,1
O00032,2024-11-26,C1476,P0046,W004,5,32191.84,0.09,6
O00033,2024-09-24,C2137,P0477,W003,7,5748.47,0.15,6
O00034,2025-03-30,C0974,P0421,W002,9,27924.74,0.03,12
