inventory_id,product_id,warehouse_id,stock_quantity,reorder_level
I0001,P0180,W002,357,23
I0002,P0150,W005,166,42
I0003,P0465,W005,600,39
I0004,P0465,W002,759,36
I0005,P0492,W002,709,24
I0006,P0076,W005,302,83
I0007,P0025,W003,289,22
I0008,P0168,W001,785,29
I0009,P0435,W002,745,42
I0010,P0377,W004,537,90
I0011,P0029,W004,860,94
I0012,P0287,W003,965,25
I0013,P0229,W001,827,54
I0014,P0003,W004,860,87
I0015,P0036,W002,478,44
I0016,P0224,W001,848,72
I0017,P0386,W001,786,57
I0018,P0413,W003,678,62
I0019,P0113,W003,213,94
I0020,P0392,W005,659,96
I0021,P0007,W001,288,56
I0022,P0481,W002,50,98
I0023,P0468,W001,346,59
I0024,P0229,W004,458,30
I0025,P0257,W005,685,66
I0026,P0379,W004,857,63
I0027,P0013,W002,777,98
I0028,P0044,W004,631,87
I0029,P0040,W001,608,32
I0030,P0136,W004,573,95
I0031,P0454,W004,450,34
I0032,P0424,W001,838,25
I0033,P0125,W002,24,84
I0034,P0095,W001,786,89
I0035,P0183,W002,444,31
I0036,P0490,W002,912,80
I0037,P0189,W004,770,34
I0038,P0192,W004,202,98
I0039,P0166,W001,706,26
I0040,P0453,W005,281,83
I0041,P0402,W005,447,62
I0042,P0458,W004,523,60
I0043,P0374,W005,552,41
I0044,P0232,W005,200,26
I0045,P0466,W005,295,36
I0046,P0105,W004,127,27
I0047,P0483,W001,704,30
I0048,P0121,W005,341,97
I0049,P0245,W003,72,75
I0050,P0415,W002,164,42
I0051,P0462,W002,106,38
I0052,P0051,W003,643,25
I0053,P0339,W004,637,64
I0054,P0348,W003,935,64
I0055,P0067,W001,178,87
I0056,P0386,W005,784,72
I0057,P0288,W002,139,68
I0058,P0189,W003,176,69
I0059,P0070,W003,307,58
I0060,P0144,W001,531,43
I0061,P0476,W005,497,68
I0062,P0351,W005,797,47
I0063,P0408,W005,840,96
I0064,P0271,W002,803,58
I0065,P0328,W003,442,49
I0066,P0017,W002,770,71
I0067,P0225,W004,443,60
I0068,P0348,W001,48,98
I0069,P0422,W003,210,43
I0070,P0375,W002,147,65
I0071,P0336,W005,740,91
I0072,P0170,W004,191,40
I0073,P0132,W002,463,55
I0074,P0122,W002,170,46
I0075,P0376,W005,25,100
I0076,P0268,W001,977,71
I0077,P0098,W005,396,22
I0078,P0199,W004,616,65
I0079,P0228,W004,139,54
I0080,P0486,W001,502,24
I0081,P0465,W004,286,36
I0082,P0396,W004,749,61
I0083,P0334,W004,745,34
I0084,P0392,W001,573,45
I0085,P0491,W002,926,88
I0086,P0456,W001,104,98
I0087,P0397,W001,39,81
I0088,P0397,W001,314,45
I0089,P0025,W002,299,41
I0090,P0212,W004,912,65
I0091,P0073,W004,125,24
I0092,P0270,W004,744,22
I0093,P0044,W002,602,88
I0094,P0285,W001,179,56
I0095,P0203,W003,230,75
I0096,P0402,W005,167,45
I0097,P0198,W005,435,22
I0098,P0132,W003,877,42
I0099,P0458,W004,819,51
I0100,P0009,W004,595,51
I0101,P0098,W005,353,80
I0102,P0443,W005,417,38
I0103,P0471,W003,661,42
I0104,P0370,W002,34,54
I0105,P0115,W004,272,58
I0106,P0021,W002,84,94
I0107,P0404,W005,287,85
I0108,P0470,W004,273,41
I0109,P0177,W003,423,22
I0110,P0183,W002,599,36
I0111,P0292,W003,44,100
I0112,P0167,W004,619,64
I0113,P0288,W003,415,96
I0114,P0153,W003,144,62
I0115,P0293,W004,322,51
I0116,P0241,W005,860,81
I0117,P0060,W004,858,99
I0118,P0455,W005,779,28
I0119,P0393,W003,51,77
I0120,P0306,W004,276,28
I0121,P0446,W004,750,78
I0122,P0458,W001,289,99
I0123,P0253,W004,135,69
I0124,P0483,W003,597,71
I0125,P0042,W005,882,85
I0126,P0263,W005,750,26
I0127,P0263,W001,79,36
I0128,P0418,W002,549,91
I0129,P0491,W004,731,45
I0130,P0409,W005,480,94
I0131,P0028,W003,545,88
I0132,P0174,W005,588,58
I0133,P0485,W004,198,34
I0134,P0282,W002,159,98
I0135,P0294,W001,885,37
I0136,P0190,W003,578,87
I0137,P0025,W005,293,67
I0138,P0109,W001,111,96
I0139,P0114,W003,886,46
I0140,P0043,W003,611,69
I0141,P0400,W005,33,39
I0142,P0449,W002,153,50
I0143,P0067,W003,174,73
I0144,P0072,W001,353,53
I0145,P0301,W003,446,32
I0146,P0176,W005,585,82
I0147,P0464,W003,271,58
I0148,P0374,W005,927,38
I0149,P0277,W001,440,82
I0150,P0279,W005,570,85
I0151,P0088,W005,977,99
I0152,P0246,W002,309,94
I0153,P0205,W003,314,50
I0154,P0332,W001,567,32
I0155,P0137,W001,743,95
I0156,P0310,W004,835,53
I0157,P0376,W003,597,53
I0158,P0253,W003,420,25
I0159,P0022,W003,328,55
I0160,P0063,W003,613,98
I0161,P0342,W003,289,30
I0162,P0112,W005,685,50
I0163,P0378,W005,430,99
I0164,P0373,W004,136,22
I0165,P0048,W003,906,33
I0166,P0320,W004,724,20
I0167,P0409,W001,714,49
I0168,P0386,W004,59,94
I0169,P0176,W005,648,92
I0170,P0433,W005,945,58
I0171,P0200,W003,862,91
I0172,P0214,W004,127,33
I0173,P0385,W002,106,35
I0174,P0035,W003,571,31
I0175,P0392,W002,497,77
I0176,P0285,W003,79,60
I0177,P0226,W004,459,41
I0178,P0128,W002,476,81
I0179,P0087,W001,719,64
I0180,P0323,W003,106,44
I0181,P0066,W001,316,43
I0182,P0103,W001,400,62
I0183,P0166,W002,870,48
I0184,P0037,W005,342,29
I0185,P0048,W001,257,88
I0186,P0197,W004,802,22
I0187,P0236,W001,641,56
I0188,P0489,W005,127,23
I0189,P0248,W002,569,53
I0190,P0158,W005,993,52
I0191,P0309,W005,698,37
I0192,P0439,W003,749,75
I0193,P0177,W002,605,62
I0194,P0058,W001,335,22
I0195,P0195,W004,425,91
I0196,P0115,W003,338,88
I0197,P0016,W004,483,100
I0198,P0004,W003,908,95
I0199,P0366,W005,611,20
I0200,P0498,W003,788,41
I0201,P0306,W005,307,22
I0202,P0288,W002,180,53
I0203,P0115,W001,130,91
I0204,P0466,W005,571,85
I0205,P0006,W003,276,22
I0206,P0305,W005,33,52
I0207,P0250,W002,19,75
I0208,P0481,W001,183,26
I0209,P0325,W003,758,28
I0210,P0265,W002,675,45
I0211,P0116,W005,975,52
I0212,P0021,W001,267,87
I0213,P0104,W002,74,93
I0214,P0094,W004,757,85
I0215,P0083,W002,750,87
I0216,P0235,W004,530,74
I0217,P0038,W005,683,77
I0218,P0468,W002,518,32
I0219,P0250,W002,416,85
I0220,P0220,W003,999,42
I0221,P0194,W004,621,93
I0222,P0076,W001,956,64
I0223,P0496,W005,994,22
I0224,P0165,W003,161,52
I0225,P0167,W002,784,60
I0226,P0067,W005,861,22
I0227,P0220,W005,595,92
I0228,P0176,W004,444,26
I0229,P0274,W003,60,70
I0230,P0018,W002,435,64
I0231,P0398,W001,298,96
I0232,P0284,W003,788,35
I0233,P0446,W002,302,32
I0234,P0253,W004,369,92
I0235,P0268,W004,416,43
I0236,P0044,W002,347,21
I0237,P0045,W001,844,57
I0238,P0409,W003,138,95
I0239,P0251,W005,956,67
I0240,P0037,W005,414,33
I0241,P0391,W002,867,43
I0242,P0063,W004,654,37
I0243,P0100,W002,455,75
I0244,P0295,W001,94,66
I0245,P0112,W005,510,20
I0246,P0162,W003,56,62
I0247,P0219,W005,153,81
I0248,P0309,W003,626,90
I0249,P0042,W001,664,36
I0250,P0433,W005,555,25
I0251,P0459,W002,118,79
I0252,P0083,W003,425,100
I0253,P0475,W002,487,63
I0254,P0211,W002,465,96
I0255,P0112,W005,708,62
I0256,P0082,W004,542,67
I0257,P0408,W001,434,55
I0258,P0006,W001,698,46
I0259,P0341,W004,85,25
I0260,P0152,W002,986,75
I0261,P0476,W001,586,48
I0262,P0084,W005,163,32
I0263,P0472,W004,848,39
I0264,P0003,W005,170,72
I0265,P0372,W002,261,63
I0266,P0365,W004,145,20
I0267,P0171,W005,664,80
I0268,P0427,W003,89,87
I0269,P0338,W002,918,47
I0270,P0023,W002,118,84
I0271,P0252,W004,896,25
I0272,P0254,W002,986,69
I0273,P0085,W003,128,44
I0274,P0235,W003,107,73
I0275,P0008,W004,819,83
I0276,P0350,W005,263,85
I0277,P0323,W002,952,42
I0278,P0088,W001,323,34
I0279,P0014,W005,456,70
I0280,P0445,W004,830,67
I0281,P0072,W005,303,59
I0282,P0398,W002,869,38
I0283,P0416,W002,962,21
I0284,P0386,W001,710,34
I0285,P0159,W005,259,62
I0286,P0195,W003,872,67
I0287,P0230,W004,281,90
I0288,P0138,W005,802,88
I0289,P0132,W001,157,28
I0290,P0366,W002,837,93
I0291,P0340,W005,208,100
I0292,P0390,W004,821,47
I0293,P0446,W003,278,76
I0294,P0175,W005,522,43
I0295,P0188,W001,223,20
I0296,P0158,W005,166,63
I0297,P0125,W002,177,94
I0298,P0283,W001,538,72
I0299,P0110,W005,549,94
I0300,P0290,W005,134,50
I0301,P0090,W003,755,31
I0302,P0295,W005,119,93
I0303,P0088,W004,527,53
I0304,P0418,W005,94,20
I0305,P0041,W002,967,42
I0306,P0242,W005,885,36
I0307,P0316,W001,596,48
I0308,P0214,W005,408,73
I0309,P0444,W001,133,39
I0310,P0124,W004,344,24
I0311,P0144,W002,577,64
I0312,P0042,W002,307,97
I0313,P0193,W003,125,62
I0314,P0450,W002,458,21
I0315,P0402,W005,835,67
I0316,P0411,W001,714,24
I0317,P0013,W001,332,58
I0318,P0405,W001,514,47
I0319,P0366,W001,130,56
I0320,P0136,W004,354,93
I0321,P0255,W003,590,82
I0322,P0119,W003,189,84
I0323,P0396,W004,735,31
I0324,P0059,W005,66,98
I0325,P0090,W001,189,33
I0326,P0405,W002,920,54
I0327,P0054,W001,859,76
I0328,P0314,W005,710,63
I0329,P0468,W004,213,81
I0330,P0323,W002,315,20
I0331,P0358,W001,408,53
I0332,P0370,W003,257,36
I0333,P0422,W004,36,27
I0334,P0449,W005,570,54
I0335,P0180,W003,664,93
I0336,P0442,W001,991,52
I0337,P0430,W002,144,97
I0338,P0035,W002,327,62
I0339,P0068,W002,261,60
I0340,P0247,W005,811,91
I0341,P0005,W002,878,41
I0342,P0493,W005,566,43
I0343,P0176,W004,300,90
I0344,P0256,W002,627,92
I0345,P0436,W004,799,82
I0346,P0424,W001,970,73
I0347,P0288,W004,169,77
I0348,P0091,W005,741,70
I0349,P0394,W005,662,72
I0350,P0180,W004,475,35
I0351,P0384,W004,378,49
I0352,P0350,W003,647,97
I0353,P0451,W002,635,61
I0354,P0108,W001,467,97
I0355,P0242,W002,28,65
I0356,P0083,W004,252,76
I0357,P0323,W003,374,58
I0358,P0275,W001,467,65
I0359,P0034,W002,366,83
I0360,P0361,W001,798,24
I0361,P0278,W001,56,82
I0362,P0354,W001,403,81
I0363,P0129,W003,694,83
I0364,P0158,W002,848,51
I0365,P0406,W001,995,62
I0366,P0044,W003,623,68
I0367,P0336,W001,274,53
I0368,P0175,W003,143,79
I0369,P0022,W005,856,41
I0370,P0054,W003,889,70
I0371,P0158,W004,692,27
I0372,P0040,W001,753,22
I0373,P0427,W004,15,49
I0374,P0044,W001,656,76
I0375,P0461,W003,423,51
I0376,P0094,W001,510,61
I0377,P0328,W003,625,59
I0378,P0147,W003,61,53
I0379,P0244,W001,223,68
I0380,P0128,W001,334,80
I0381,P0291,W005,500,59
I0382,P0060,W002,378,24
I0383,P0331,W004,573,94
